alue,SDP,PS,KOK,KESK,VIHR,VAS,RKP,KD,SIN,Piraattip.,STL,KP,FP,LIBE,SKP,EOP,IP,SKE,KTP,Muut
049 001  Muurala,17.7,17.1,19,5.2,13.6,3.7,10.2,4.7,2,0.9,0.4,0,0.1,0.3,0.1,0.2,0.2,0,-,4.4
049 002  Jouppi-Kirstinsyrjä,24.5,19.8,10.1,3,15.4,8.1,4.7,3.5,2.1,1.8,0.9,-,0.4,0.5,0.5,0.4,-,0.2,0.2,3.9
049 003  Tuomarila,15.5,11.4,25.8,5,19.6,4.4,6.3,3,1.7,0.8,0.5,-,0,0.5,0.4,0.3,0.1,0,0.1,4.2
049 004  Nuuksio-Nupuri,15.7,17.4,23.4,5.3,13.2,5.1,9.2,2.1,1.7,0.3,0.4,0.1,0.1,0.4,0.4,0.4,-,0.1,0.1,4.6
049 005  Bemböle-Kunnarla,12.5,15.9,24.6,5.8,15.4,3.1,8.3,3.7,2,1,0.8,0,0.1,0.3,0.4,0.1,0.3,0.1,-,5.6
049 006  Kuurinniitty-Ymmersta,10.6,11.7,35.5,3.3,16.1,2.5,8.2,3.1,1.3,0.9,0.3,0.1,0.2,0.2,0,0,0.2,-,0.1,5.6
049 007  Sokinvuori-Kirstinmäki,25.1,18.3,12.7,4.7,16.6,5.6,3.7,3.8,1.5,2,1,-,0.4,0.8,0.3,0.2,0.3,0.5,-,2.5
049 008  Suna,22.4,14.9,17.4,4.6,18.2,5,5.2,4.4,1.5,0.9,0.2,0.1,0.2,0.6,0.1,-,0.1,0.1,-,4.1
049 009  Kirkkojärvi,18.1,17.2,17.2,5,15.8,5,5.9,4,2.3,1.9,0.5,0.1,0.5,0.3,0.1,0.3,0.1,0.2,-,5.4
049 010  Kauklahti-Espoonkartano,14.3,15.3,22.8,4.8,17.9,4.3,8.1,2.8,1.4,1,0.4,0.1,0.1,0.3,0.3,0.2,0.4,0.2,0.1,5
049 011  Kurttila,10.6,12,31.4,4.2,16.5,2.7,11.2,2.4,1.8,0.6,0.3,-,0.1,0.3,0.2,-,0,0.1,-,5.4
049 012  Saunalahti,13.2,14,29.7,4.3,15.2,4.2,7.5,2.6,2.2,0.9,0.5,-,0.2,0.4,0.2,0.1,0.2,0.1,0,4.9
049 013  Kaupunginkallio,17.3,14,22.5,3.1,17.7,4.9,7.1,4.1,1.6,1.6,0.5,0.1,0.3,0.4,0.4,0.1,0.1,0.2,0.1,4
049 020  Kalajärvi,15.8,19.6,21.3,7.1,13.7,4.2,4.8,2.7,2.8,0.5,0.7,-,-,0.4,0.3,0.4,0.1,0.2,0,5.3
049 022  Niipperi,15.4,17.1,26.8,7.2,13,2.8,4.1,2.1,2.8,0.8,0.3,0,0,0.3,0.2,0.3,0.1,0.2,0.1,6.3
049 023  Järvenperä,14.1,13.8,28.3,5.2,16.2,3.4,7.2,2.6,2,0.4,0.6,-,0.1,0.6,0.2,0.2,0,0.2,0,4.8
049 030  Laajalahti,9.1,8,39.2,3.5,22.6,3,5,2.6,1.4,0.8,0.3,-,0.3,0.8,0.1,0.1,0.1,-,-,3.4
049 031  Pohjois-Leppävaara,15.4,15.9,20.5,4.1,21.8,5.7,3.3,3,1.6,1.9,0.4,-,0.2,0.7,0.4,0.1,0.2,0.4,0,4.4
049 032  Mäkkylä,13.6,10.3,29.8,4.9,22.1,3.3,4.4,2.1,1.4,1.3,0.3,0,0.3,0.5,0.1,0.2,0,0.1,0,5.2
049 033  Lintuvaara,12.3,11.5,34.5,4.7,19.6,3.2,3.8,2.7,1.7,0.7,0.3,-,0.2,0.2,0,0.2,0.2,0.1,-,4.2
049 034  Vallikallio,15.6,13.6,24.3,5.3,19.5,4.2,3.6,3.9,2.4,1.9,0.4,-,0.3,0.9,0.1,0.1,0.1,0.1,-,3.7
049 035  Perkkaa,15.8,14.5,20.5,4.3,22.4,6.1,3.3,2.6,2,1.8,0.4,-,0.5,1,0.2,0,0.1,0.1,-,4.3
049 036  Kilonpuisto,18.6,15.5,20.3,3.7,20.8,5.3,4.3,3.9,1.4,1.3,0.1,0.1,0.5,0.4,0.2,0.2,0.1,0.1,-,3.1
049 037  Lansa-Sepänkylä,14.5,12,27.6,3.9,17.5,3.7,10.5,2.9,1.5,0.5,0.2,0,0.2,0.4,0.1,0.3,0,0.2,-,4
049 038  Karakallio,18.3,14,25.8,4.4,14.1,5.1,5.2,4.4,2.1,0.7,0.3,0,0.3,0.6,0.1,0.1,0.2,0.2,0,3.8
049 039  Rastaspuisto,14.7,14.1,29.2,4,17.4,3.5,4.9,4.8,1.2,0.8,0.3,0.1,0.4,0.5,0.3,0.1,0.1,0.2,-,3.4
049 040  Jupperi,8.5,9.1,44.3,5.4,14.7,2.2,5.5,2.7,1.9,0.4,0.2,-,0.2,0.3,-,0.2,0.1,-,-,4
049 041  Lähderanta,13.3,13.7,30.7,4.4,16,3.2,7.2,2.8,1.7,0.8,0.1,-,0.2,0.4,0.2,0.3,-,0.1,-,5
049 042  Etelä-Leppävaara,13.2,13.4,25.1,3.7,22.1,5.3,3.4,2,2,2.3,0.3,-,0.4,0.9,0.1,0.6,0,0.2,-,4.9
049 043  Viherlaakso,17,12.4,25.5,4.5,16.3,3.8,8.2,4.2,2.1,0.7,0.3,0,0.1,0.4,0.1,0.2,0.2,0.1,0.1,3.8
049 044  Säteri,15.6,12.2,26.3,2.7,23,4.5,3.4,2.6,1.7,1.2,0.7,-,0.2,0.4,0.2,0.2,0.4,-,-,4.8
049 045  Lippajärvi,13.3,12,27.9,5.1,17.6,2.9,10.2,3.3,2.2,0.7,0.3,-,0.1,0.2,0.2,0.1,0.1,0.1,-,3.8
049 047  Kilo-Kuninkainen,11.2,12.2,29.9,4.7,20.4,3.4,8.4,2.2,0.7,1.5,0.3,0.1,0.3,0.4,-,0.3,-,-,0.1,4
049 050  Tapiolan keskus,7.5,7.2,46,3.1,17.3,2.7,6.9,2.3,1.6,0.8,0.2,0.1,0.4,0.6,0.2,0.1,0.1,0.1,0,2.7
049 051  Otsolahti,9.6,6.3,33.3,2.4,29.4,3.3,6.5,2.4,1.4,0.9,0.3,-,0.3,0.9,0.1,0.3,0.1,0.1,0.1,2.4
049 054  Westend,3.4,5.7,57.1,2.4,11.3,1,12.5,1.9,0.9,0.2,0.2,-,0,0.2,0,0,0,0.1,0,3
049 055  Jousenkaari-Hakalehto,9.2,7.5,37.8,2.7,23.9,3.2,8.3,1.6,1.1,0.4,0.3,0,0.2,0.8,0,0.1,-,0,0,2.9
049 057  Koivu-Mankkaa,9.9,6.3,40.2,3.4,22.8,2.9,5.2,2.8,1.7,0.9,0.1,-,0.3,0.2,0.2,0.3,0,-,0,2.8
049 058  Pohjois-Tapiola,8,5.9,44,3.9,21.3,3.1,5.2,2.1,1.3,0.9,0.4,-,0.1,0.4,0.1,0,0,0,0,3.2
049 059  Otaniemi,5.1,8.5,31.7,2.1,30.1,1.6,5.8,1.1,0.8,4.8,0.3,0,0.3,3.6,0.2,0.1,-,0.2,-,3.7
049 060  Haukilahti,6,6.7,44.8,2.1,13.2,1.9,16.9,1.8,1.5,0.5,0.3,-,0,0.4,0.1,0.1,0.1,0.1,0,3.4
049 063  Niittykumpu-Tontunmäki,8.4,8.1,38.3,3.1,22.6,3.4,7.2,1.4,1.1,1,0,0,0.3,0.7,0.2,0.3,0.1,0.1,0.1,3.5
049 064  Vanha-Mankkaa,7.5,8.4,44.6,3.3,18.3,1.3,7.3,2.6,1.2,0.6,0.3,-,0.1,0.4,0.1,0,0,0.1,0.1,3.7
049 065  Taavinkylä,8.3,8.2,44.6,3.3,16.2,1.5,8.6,2.5,1.3,0.4,0.4,-,-,0.5,0.2,0.1,0.1,0.2,-,3.7
049 068  Tiistilä,18.2,13.4,23.1,3.3,16.6,5.6,7.3,3.2,2.1,1.4,0.7,0.1,0.1,0.7,0.5,0.3,0.2,0.2,0.1,3
049 070  Suurpelto-Henttaa,13,12.3,26.4,3.8,20.3,3.8,5.2,2.6,1.6,1.5,0.6,-,0.4,0.6,0.2,0.4,0.3,0.1,-,7
049 071  Kuitinkallio-Olarinmäki,15.7,9.7,25.2,3.9,20.7,4.5,7.8,2.6,2.4,1.1,0.6,-,0.3,0.6,0.1,0.2,0.3,0.2,0.1,3.9
049 072  Olarinpuisto-Päivänkehrä,10.1,7.8,38.7,3.1,19.9,2.8,8.6,2.4,1.5,0.5,0.3,-,0.1,0.3,0.2,0.1,0.1,0.1,-,3.6
049 073  Friisilä,11.8,9.2,40.6,3.7,14.4,2.6,8.4,2.3,1.4,0.8,0.4,0,0.2,0.3,0.1,0.1,0,0,-,3.4
049 074  Piispansilta,11.5,11.1,31.3,3.3,18.2,3.5,8.8,2.3,1.4,1.3,0.6,-,0.4,0.6,0.1,0.3,0.1,0.1,0,5
049 075  Matinlahti,9.1,7.2,38.8,3,14.8,2,16,2.4,1,0.7,0.3,0.1,0.1,0.5,0.1,0.3,0,0,-,3.6
049 076  Nuottaniemi-Kalastajanmäki,13.3,11,34.5,2.6,14.8,3.6,10.2,1.7,1.9,0.9,0.4,-,0.2,0.4,0.3,0.2,0,0.3,-,3.7
049 077  Kuitinniitty,12.2,9.8,34.6,3.7,18.1,2.7,7.3,2.6,1.5,1.2,0.4,-,0.1,0.8,0.2,0,0.1,-,0,4.7
049 078  Matinmetsä,18,10.5,22.3,4.3,20.2,3.5,8.2,3.2,2.2,1.2,0.7,0.1,0.2,0.8,0.1,-,0.2,0.2,0.3,3.7
049 079  Tillinmäki,9.6,10.8,37.2,5.4,17.4,2.8,6.4,2.1,2,0.4,0.1,-,0.2,0.3,-,0.2,-,-,-,5.2
049 080  Nöykkiö,11.9,8.9,42.2,2.8,15.5,1.8,7.8,2.1,1.5,0.3,0.1,-,0.1,0.3,0.1,0,0,0,-,4.5
049 081  Malminmäki-Eestinlaakso,14.9,12,28.4,4.1,18.6,4,6.4,2.8,1.4,1,0.3,0.1,0.1,0.3,0.2,0.2,0.1,0.1,-,5
049 082  Iivisniemi-Hannus,13.6,13.4,26.3,3.5,17.9,3.8,8,2.5,3.2,1.1,0.6,-,0.3,0.4,0.5,0.3,0.1,0.1,-,4.6
049 083  Ylä-Kivenlahti-Meritori,16.8,12.4,27,3.2,16.4,4.1,8.5,3,2.2,1.1,0.1,0,0.4,0.1,0.1,0.2,0,0,0,4.3
049 084  Espoonlahden keskus,22.5,11.9,20.3,3.6,13.5,5.9,7,4.1,3.4,1.1,1,0.1,0.3,0.3,0.3,0.5,0,0.3,0,3.8
049 085  Ylä-Soukka-Hannusjärvi,13.1,9.5,29.7,3.9,16.4,2.6,11.4,3.1,3.1,0.8,0.5,0.1,0.2,0.5,0.1,0.3,0.1,0.1,-,4.3
049 087  Ala-Soukka,22,14.3,17.9,4.4,17.9,4.3,6.8,3.6,2.8,0.6,0.5,0.2,0.2,0.2,0.3,0.2,0.1,0.1,-,3.7
049 088  Soukanranta,16.9,9.7,28.9,4.2,14.8,2.8,12,3.1,2.4,0.8,0.6,-,0.1,0.2,0.1,0.2,0.3,-,-,3
049 089  Kaitamäki-Suvisaaristo,7.6,8.7,41.2,2.8,15.1,1.7,15.4,1.5,2,0.3,0.3,-,0.3,0.1,0.1,0.1,0.1,0,-,2.8
049 090  Laurinlahti,12.1,8.4,34.5,3.9,18,2.6,10.6,2.1,1.4,0.7,0.2,0.1,0.1,0.6,-,0.2,-,-,-,4.6
049 091  Latokaski,16.4,13.1,26.8,5.4,19.1,2.4,6.3,2.3,1.5,0.4,0.2,-,0.2,0.3,-,0.2,-,0.1,-,5.3
049 093  Kipparinmäki,19.5,13.1,23,4.2,14.9,4.1,9.5,3,2.4,0.6,0.4,-,0.2,0.4,0.2,0.2,0.2,-,0.2,3.8
049 094  Ala-Kivenlahti,23.5,16.3,17,3.3,15.2,5.9,5.2,3.3,1.6,1.3,0.7,0.1,0.3,0.4,0.4,0.5,-,0.2,0.2,4.7
049 095  Nöykkiönpuro-Martinsilta,10.1,10.7,39.7,3.9,13.6,1.9,11.5,2,1.7,0.2,0.2,-,0.2,0.3,0.1,0,0,0,-,3.7
049 099  Avoin alue,9.2,8.8,26.8,3.3,23.2,3.6,13.1,2.2,1.4,1.2,1.5,0.1,0.6,0.8,0.6,0.2,0.1,0.3,-,3.2
092 101  Hämevaara,17.7,13.7,28.1,3.7,18.1,3.8,2.5,2.9,2.1,0.9,0.5,0.1,0.2,0.3,0.2,0.1,-,0.2,-,4.7
092 102  Hämeenkylä,19,14,22,5.3,18,4.9,3.3,3,2.3,1.3,0.8,0.1,0.3,0.4,0.3,0.1,0.2,0.3,-,4.5
092 103  Pähkinärinne,20.8,19.9,19.2,5.3,14.6,5.6,2.1,3,1.9,1.6,0.5,0.1,0.1,0.7,0.3,0.2,0.1,0.1,-,4.1
092 104  Varisto,24,14,20.9,4.7,16.4,4.4,3.6,2.7,2,0.8,0.7,-,0.2,0.3,0.2,0.3,0.2,0.3,0.1,4.2
092 105  Vapaala,17.5,15.1,26.3,4.6,15.7,4.3,3.7,2.9,2.6,0.5,0.8,0,0.1,0.1,0.2,0.1,0.1,0.3,0,4.9
092 106  Uomatie,25.2,16.5,17.9,4.7,14.5,5.3,3.4,3.5,2.6,0.9,0.8,0.1,0.2,0.3,0.1,0.5,0.2,0.3,-,3
092 107  Myyrmäki,25.9,15.4,19.1,6.1,14.1,4.9,2.8,3.4,1.7,0.8,0.8,0.1,0.1,0.5,0.3,0.3,0.1,0.2,0.2,3.3
092 108  Kilteri,29.1,18.1,15,4.4,12.1,5.9,2,3.5,1.7,1.6,0.6,-,0.4,0.5,0.3,-,0.1,0.5,-,4.3
092 109  Louhela,25.6,14.6,16.8,6.1,15.6,6.2,2.4,4.1,1.9,1.3,0.6,-,0.2,0.3,0.2,0.1,-,0.2,-,3.9
092 110  Jönsas,23.6,18.6,14,5.7,15.4,7.3,2.4,2.8,2.3,1.3,0.9,0.1,0.3,0.7,0.2,0.1,0.2,0.4,0.1,3.8
092 111  Kaivoksela,22.2,19.8,14.9,5.4,14,6.1,4.9,2.8,1.1,0.6,0.6,-,0.3,0.3,0.1,0.2,0.2,0.6,0.1,5.8
092 112  Vaskipelto,17.4,18.9,18.9,6.1,14.2,5.3,3.8,3.1,1.9,1.8,1.3,-,0.3,0.8,0.2,0.1,0.1,0.6,-,5.4
092 201  Askisto,16.5,18.5,27.6,5.2,13.3,2.9,1.7,2.4,2.4,0.6,0.4,-,0.2,0.4,0.3,0.1,0.1,0.5,-,7
092 202  Keimola,12,16.5,23.6,6.3,16.9,4.2,3.3,2.6,1.5,1,0.7,0.1,0.4,0.3,0.3,0.4,0.1,0.3,0,9.4
092 203  Seutula,15.6,23.4,15.5,11.5,10.6,6,4.4,2.6,2.6,0.7,0.5,-,-,0.1,-,0.1,0.2,0.1,-,6.1
092 204  Piispankylä,15.6,20.9,20.9,7.9,12.9,4.5,2.6,3.6,2.6,0.8,0.8,-,0.2,0.3,0.2,0.2,0.2,-,-,6
092 205  Kivimäki,23.8,15.6,21.1,4.8,14.5,3.5,4.8,3.4,1.9,0.4,0.6,-,0.1,0.5,0.2,0.1,0.2,0.2,0.1,4.4
092 206  Laajavuori,25.9,21.1,10.4,3.7,12,9.2,4.8,3.7,2,0.7,0.7,0.1,0.1,0.5,0.3,0.3,0.1,0.4,-,3.9
092 207  Martinlaakso,23.6,15.6,16.8,6.2,14.5,5.6,3.5,2.7,2.3,1.5,0.6,0.1,0.4,0.3,0.1,0.1,0.2,0.2,-,5.4
092 208  Vihertie,24.9,17.7,14.5,5.5,14.1,6.6,3,2.5,2,1.3,0.8,-,0.1,0.4,0.4,0.4,0.1,0.1,0.1,5.3
092 209  Vantaanlaakso,19.1,14.2,27.3,4.3,14.9,3.9,3.1,2.7,2.7,0.5,0.3,0.1,0.1,0.4,0.2,0.1,0.1,0.1,-,5.9
092 210  Ylästö,13.9,14.4,29.6,4.8,15.5,3.6,4.8,3.1,2.1,0.7,0.4,0.1,0.2,0.2,0.3,0.3,0,0.1,0.1,5.8
092 301  Veromies,16.6,16.6,25.1,5.5,15.5,3.7,2.9,2.1,2.2,0.7,0.6,0.1,0.2,0.4,0.4,0.2,0.2,0.2,-,6.9
092 302  Pakkala,17.9,19.7,20.1,6.3,13,5.3,2.8,2.7,1.5,1.1,0.6,0.2,0.3,0.3,0.3,0.6,0.1,0.2,-,6.8
092 303  Kartanonkoski,14,16.2,21.9,5.7,20.4,4.1,2.2,3.4,1,0.9,0.2,-,0.3,0.3,0.3,0.1,0.1,0.1,0,8.7
092 304  Ilola,17,20.4,24.5,4.6,13.2,5,1.8,2.4,1.6,0.8,0.8,0.1,0.2,0.2,0.2,0.3,0.1,0.2,0,6.7
092 305  Ruskeasanta,20,17.5,23.2,5.2,12.8,4.5,2.8,2.7,2.2,0.4,0.3,0.1,0.3,0.2,0.3,0.1,0.3,0.1,0.1,7.1
092 306  Simonkylä,25,19.7,13.1,5.9,12.4,9,1.5,2.2,1.9,1.5,0.7,0.3,0.5,0.2,0.4,0.3,0.1,0.2,0.1,5
092 307  Simonmetsä,25.9,17.3,16.3,3.9,14.4,7.5,2.1,3.4,2.2,1,0.3,0.1,0.3,0.2,0.1,0.2,0.2,0.3,0,4.3
092 308  Peltola,22.8,16.7,20.6,4.4,15.7,5.1,2.7,2.3,1.5,0.8,0.7,-,0.1,0.2,0.2,0.3,0.1,0.1,0.1,5.8
092 309  Viertola,21.7,16.2,23.3,4.7,13.3,5.3,3.5,2.7,1.1,0.8,0.5,-,0.3,0.2,0.2,0.1,0.1,0.2,0.1,5.9
092 310  Talkootie,19.5,17.8,20,4,16.6,6.9,2.5,2.5,1.8,0.6,0.5,-,0.2,0.5,0.3,0.3,0.2,0.1,-,5.9
092 311  Hiekkaharju,22.3,15.7,23,4.6,15.5,6.1,2.6,2.2,1.3,0.6,0.2,0.1,0.2,0.3,0.1,0.2,0.1,-,0.1,4.6
092 312  Tikkurila,21.7,19.5,15.8,5.1,13.7,7.9,1.8,1.8,1.8,1.7,0.7,0.1,0.3,0.7,0.2,0.3,-,0.4,-,6.4
092 313  Kukkaketo,22.5,14.8,19.8,5.1,16.2,6.4,2.2,2.8,1.7,1.4,0.4,0.1,0.2,0.5,0.3,0,0.2,0.2,0,4.9
092 314  Jokiniemi,16.3,15.1,17,4.1,21.6,7,3.5,2.4,1.7,1.9,0.4,0.3,0.7,0.3,0.3,0.5,0.3,0.2,-,6.3
092 315  Maarinoja,19.5,20,11.2,4,21.3,7.3,2.5,2.8,1.5,1.5,0.7,-,0.7,0.4,0.3,0.2,0.5,0.1,0.1,5.4
092 316  Hakkila,19.8,17.6,17.3,3.2,18.5,7.4,3.9,2.6,2,0.7,-,0.3,-,0.3,0.4,0.1,0.1,0.4,-,5.1
092 317  Kuninkaala,19.5,18.6,22.3,4.6,13.8,4.7,4.2,3,1.8,0.3,0.5,-,0.1,0.4,0.4,0.3,-,0.2,-,5.4
092 401  Koivukylä,22.1,18.4,16.2,4.8,15.7,6,2.1,3.3,2.1,1.1,0.3,0,0.2,0.6,0.2,0.1,0.2,0.3,-,6.4
092 402  Asola,27.6,20.1,10.3,4.6,13.6,7.6,1.6,4.4,1.8,0.9,0.3,0.1,0.5,0,0.2,0.3,0.2,0.2,0,5.5
092 403  Kulomäki,25.3,23.4,10.2,6.3,12.2,7.2,1.8,3,1.8,0.8,1.6,0.2,0.3,0.4,0.5,0.3,0.3,0.3,-,4.3
092 404  Korso,22.2,21.7,16.1,4.9,14.7,7.4,1.3,3,1.3,0.8,0.3,-,0.1,0.3,0.1,0.3,0.3,-,0.1,5.2
092 405  Vierumäki,21.6,24.2,15.5,4.7,13.5,5.9,1.6,2.1,2,0.7,1,0.1,0.1,0.5,0.3,0.4,0.3,0.1,-,5.3
092 406  Leppäkorpi,19.9,22.8,19.2,5,13.6,6,1.6,2.7,1.9,0.7,0.5,0.1,0.1,0.3,-,0.1,0.1,0.1,0.1,5.2
092 407  Metsola,23.1,21,17.8,4.1,14.1,5.8,1.3,3.3,1.6,0.6,0.6,0.1,0.1,0.2,0.1,0.3,0.5,0.1,0.1,5.4
092 408  Otava,29.3,24,8.9,4.5,10.2,9.3,1.8,2.2,1.9,1.6,0.8,0.2,0.1,0.3,0.3,0.2,0.1,0.2,0.1,4.2
092 409  Matari,21.8,18.5,16.8,6.8,14.7,6.5,1.9,3.6,2.2,0.4,0.8,0.1,0.2,0.4,0.1,-,0.2,0.3,-,4.8
092 410  Mikkola,31.2,26.3,7.4,1.9,11.1,8.3,1.7,3.6,1.6,0.9,1.6,0.2,0.4,0.1,0.2,0.1,0.2,0.2,0.2,3.1
092 411  Nikinmäki,15.7,20.4,24.6,6.4,12.6,4,2.5,4,1.5,0.6,0.5,0.2,0.1,0.1,0,0.1,0.1,0.1,-,6.4
092 412  Rekola,22.3,19.5,20.8,4.8,13.3,6.1,2.1,2.7,1.5,0.5,0.3,0.1,0.3,0.1,0.2,0.3,0.1,0.1,0.1,4.8
092 413  Rastimäki,35.1,19.5,6.9,3.5,11.9,10.8,1.7,2,1.8,1.3,1.7,0.1,0.2,0.3,0.3,0.2,0.1,0.4,0.1,2
092 414  Havukallio,31.2,22.4,6.9,3.2,10.9,10,2.1,3.2,1.2,1.5,1.3,0.1,0.2,0.4,0.4,0.5,0.3,0.8,-,3.5
092 415  Tarhapuisto,31.7,20,9.1,4.5,11.6,9.2,1.4,4.8,1.6,0.8,0.9,0.1,0.1,0.3,0.4,0.3,0.1,0.2,0.1,3.1
092 416  Päiväkumpu,21.5,20.1,22.8,4.1,13.1,6.1,1.4,2.5,1.5,0.8,0.4,-,0.1,0.2,0.3,0.1,0.1,0.1,0,4.6
092 501  Oripuisto,30.2,20.1,7.3,5.3,12.6,9.1,2.5,3.3,2.4,1.1,0.8,0.2,0.5,0.1,0.5,0.5,-,0.4,0.2,3
092 502  Hakunila,31.6,19.3,11.7,4.5,11,6.6,2.2,3.5,2.3,1.3,0.7,-,0.2,0.1,0.5,0.3,0.3,0.2,0.1,3.8
092 503  Nissas,24.6,22.7,10.6,3.3,15.7,6.5,2.4,2.4,1.7,0.6,1,0.1,0.1,0.4,1,0.6,0.2,0.3,-,5.8
092 504  Itä-Hakkila,20,19.7,22.4,5.4,11.2,4.9,2.8,5.2,1.6,0.5,0.6,-,0.1,0.1,0.1,0.2,0.1,0.2,-,4.9
092 505  Sotunki,15.2,19,26.5,5.1,11.3,4.7,6.5,3.4,1.2,0.5,0.4,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,5.2
092 506  Vaarala,18.2,18.8,20.1,3.3,15.8,4.8,4.1,3.2,1.7,1,0.7,-,0.2,0.6,0.4,0.2,0.1,0.2,-,6.7
092 507  Rajakylä,23.9,18.5,18.9,4.1,12,6.8,2.6,2.3,1.9,0.8,0.3,0,0.1,0.2,0.4,0.2,0.2,0.2,0,6.3
092 508  Estepuisto,35.4,19.8,5.2,3.4,10.7,10.1,1.7,2,2.3,2.6,0.8,-,0.7,0.3,1.4,0.3,0.4,0.6,-,2.3
092 509  Länsimäki,29.1,22.9,8.3,4.3,11.4,8.6,1.2,3.3,1.4,1.2,0.8,-,0.1,0.2,1,0.2,0.2,0.2,0.3,5.4
092 888  Lummetie,16.7,14.1,16.4,4.3,20.1,7.6,6,3.1,1.4,1.7,2,0.2,1.1,0.7,0.8,0.3,0.2,0.2,0.1,3.1
091 001A Kruununhaka A,6.3,5.9,34.1,2.5,26.8,8.3,9.1,0.9,0.3,1.2,0.1,-,1,0.3,0.1,0.2,-,0,-,2.9
091 002A Kruununhaka B,7.4,6.9,31.1,3,28.1,9,6.8,1.3,0.3,1.1,0.3,-,1.4,0.2,0.1,0.3,0,0,-,2.8
091 003A Kaartinkaupunki,4,5.9,47.2,2,15.4,3.9,16.4,0.7,0.2,0.9,-,-,0.4,-,-,0.2,-,0.1,-,2.7
091 004A Kamppi,5.4,7.3,35.8,2.3,25.1,7,8.4,1.1,0.2,1.9,0.1,-,0.7,0.6,0.1,0.2,0.1,0.1,0,3.5
091 004B Hietalahti,6.4,8.2,34.1,1.9,26.6,6.4,8.4,1.1,0.5,1.5,0.3,-,0.6,0.5,0.1,0.1,0,0,0.1,3.3
091 004C Lapinlahti,9,7.4,28.5,2.1,29.2,7.8,5.8,1.2,0.3,1.9,0.3,-,1.7,0.5,0.1,0.2,-,-,0,4.1
091 005A Punavuori A,8,6.7,31.8,2.2,26.9,7.9,8.7,0.6,0.4,2,0.2,-,0.6,0.3,0.1,0.3,0,0,0.1,3.3
091 005B Punavuori B,6,6.2,29.5,1.9,26.5,8.8,12.9,1.1,0.1,1.6,0.1,-,0.7,0.1,-,0.4,0.1,0,-,3.9
091 005C Eira,5.6,7.8,36.4,1.4,22.8,6.5,11.1,1,0.4,1.7,0.2,-,0.7,0.3,0,0.3,0,0,-,3.8
091 006A Ruoholahti,14.6,11.4,20.4,2.6,25.7,12.4,2.9,1.4,0.4,1.5,0.4,-,0.8,0.6,0.2,0.1,0.1,-,0.1,4.7
091 006B Jätkäsaari A,11.5,9.3,25.4,2.1,27.6,9.5,5,1.4,0.3,1.9,0.4,-,1.1,0.3,0.1,0.2,-,0.2,0,3.9
091 006C Jätkäsaari B,7.4,6.7,26.4,1.7,28.2,6.3,12.6,1.1,0.4,2,0.1,-,0.7,0.6,-,0.2,-,0.1,-,5.4
091 006D Jätkäsaari C,7.7,9.8,24.3,1.6,29.4,10.5,5.1,1.5,0.5,1.9,0.3,-,1.2,0.5,0,0.4,-,-,0,5.1
091 007A Ullanlinna A,5.9,5.6,34.8,1.9,23.3,6.2,14.6,1,0.3,1.8,0.2,-,0.9,0.2,0.1,0.3,-,0,-,2.8
091 007B Ullanlinna B,5.5,6.5,36.5,1.9,23.2,5.6,14.7,1,0.3,0.9,0.3,-,0.5,0.1,0,-,-,-,0,2.9
