alue,SDP,PS,KOK,KESK,VIHR,VAS,RKP,KD,SIN,Piraattip.,STL,KP,FP,LIBE,SKP,EOP,IP,SKE,KTP,Muut
091 007C Ullanlinna C,5.5,5.3,37.8,1.7,19.6,5.9,17.9,0.6,0.1,1,0.2,-,0.6,0.2,-,0.3,-,0.1,0.1,3
091 008A Katajanokka,10,7.4,32.9,2.3,23.5,9.5,7,1.3,0.2,1.5,0.1,-,1,0.3,-,0.2,0.1,0,-,2.7
091 010A Sörnäinen,8.4,9.1,12.7,1.7,34.5,20.2,2.3,0.9,0.1,3.7,0.2,-,2.2,0.6,0.2,0.3,0,0,-,3
091 010B Merihaka,17,11.4,19,3.3,21.9,15.8,3.4,1.3,0.4,2.7,0.3,-,1,0.2,0.2,0.4,-,0,-,1.7
091 010C Kalasatama,9,9.4,23.1,2.3,31.6,11.3,3.3,1.2,0.3,1.8,0.4,-,1.3,0.6,0.1,0.1,0,-,-,4.2
091 011A Siltasaari,11.2,6,18.1,2,34,15.9,3.3,1.2,0.4,2.1,0.2,-,1.9,0.4,0.1,0.3,0.1,-,0,2.9
091 011B Linjat,11.8,8.3,14.8,2.4,30.6,18.3,3.9,1.2,0.4,2,0.3,-,1.9,0.4,0.2,0.3,0.1,0.1,0,3
091 011C Kallio A,10.2,8.1,13.4,1.4,33.3,19.8,3.8,1.1,0.3,2.3,0.4,-,1.8,0.6,0.2,0.1,-,0.1,-,3.1
091 011D Kallio B,11.6,6.6,13.2,2.1,33.6,19,2.7,1.3,0.2,1.9,0.3,-,2.2,0.5,0.2,0.5,0,0.1,0.1,3.7
091 011E Kallio C,8.4,7.4,12.6,2.2,35,20.1,3.3,0.9,0.4,3,0.1,-,2,0.4,0.1,0.3,0.1,0.1,0,3.6
091 011F Kallio D,7.7,6.1,10.6,1.6,35.3,25.3,2.4,0.8,0.3,3.3,0.2,-,2.1,0.6,0.2,0.2,0,-,0.1,3.2
091 012A Alppila A,11.2,8.1,11.4,1.5,34.1,20.7,2.4,0.9,0.2,3.1,0,-,1.9,0.9,0.2,0.4,-,0.1,0,2.9
091 012B Alppila B,10.5,7.7,12.7,1.7,30.8,21.9,3.4,1.2,0.4,3.3,0.4,-,1.9,0.4,0.2,0.1,-,-,0.1,3.4
091 012C Alppila C,10.1,8.2,12.4,2.4,32.6,19.9,3.2,1.4,0.4,2.8,0.1,0,1.8,0.2,0.2,0.3,0,-,0.2,3.6
091 012D Alppila D,9.3,7.3,20.8,2.5,33.1,14.5,2.8,0.8,0.4,2.1,0.1,-,1.6,0.5,0.1,0.1,-,0.2,-,3.9
091 013A Etu-Töölö A,6.5,5,41.3,2.8,23.1,5.7,9.6,0.5,0.1,0.8,0.1,-,0.9,0.1,0.1,0.4,-,0,-,2.9
091 013B Etu-Töölö B,7.1,6.8,35,2.6,26.8,7.2,6.9,1,0.3,1.2,0.2,-,0.5,0.4,0.1,0.2,-,0.1,0.1,3.4
091 013C Etu-Töölö C,6,5.7,35.5,2.4,26,6.7,9.8,1,0.3,1.5,0.2,-,0.7,0.3,0,0.1,-,-,0.1,3.7
091 013D Etu-Töölö D,6.7,6.5,31.5,2.5,26.4,8.7,9.4,1.1,0.2,1.7,0.3,-,1,0.4,0,0.3,0,0,-,3.4
091 014A Taka-Töölö A,7.2,9.2,31.5,2.5,26.4,8.3,7.2,1.2,0.3,1.2,0.1,-,0.8,0.3,0.2,0.1,0,-,-,3.4
091 014B Taka-Töölö B,6.6,5.4,39.6,2.8,21.9,7.3,9.5,1.2,0.3,1.3,0.2,-,0.7,0.4,0,0.1,-,0,0,2.7
091 014C Taka-Töölö C,7.5,6.6,25.7,2.7,30.7,9.3,8.4,1.3,0.3,1.4,0.1,-,1.2,0.4,0.1,0.1,-,0.1,-,4
091 014D Taka-Töölö D,7.8,6.7,28.3,2.3,31.7,7.8,7.3,1.6,0.3,1.5,0.1,-,0.6,0.3,0.1,0.1,-,0.1,-,3.4
091 015A Meilahti A,10.6,9.1,23.5,2.1,30.4,11.1,5.1,1.5,0.3,1.3,0.3,-,0.7,0.5,0.2,0.3,-,0.1,-,3
091 015B Meilahti B,9.8,7,23.1,2.2,30.4,10,8,1.5,0.5,1.7,0.2,-,1.1,0.4,0.1,0.3,0.1,0.1,-,3.5
091 016A Ruskeasuo,9.8,8.4,19.7,3.1,33.4,9.8,7.1,1.6,0.3,2,0.2,-,1.1,0.3,0.1,0.3,-,-,-,2.6
091 016B Pikku Huopalahti,15.9,13.1,20.2,2.5,23.1,12.2,4.5,1.7,0.4,1.5,0.2,-,1,0.2,0.1,0.2,0.2,0,-,3
091 017A Pasila A,17.1,12.8,13.5,2.6,25.1,16.5,2.9,2.1,0.2,2.1,0.5,-,1.1,0.3,0.2,0.6,-,-,0.1,2.6
091 017B Itä-Pasila,17.4,11.2,12,3.1,25,17.1,2.7,2,0.5,2.9,0.1,-,1.4,0.7,0.3,0.3,0.1,0,-,3.1
091 017C Pasila B,14.5,12.3,20,3.3,24.5,11.6,3.2,1.7,0.8,1.7,0.2,-,0.8,0.1,0.1,0.3,0,-,0.1,4.9
091 021A Hermanni A,13.9,10,15.3,2,30.5,15.5,3.4,0.8,0.4,1.8,0.3,-,1.4,0.3,0.4,0.2,0,-,0,3.7
091 021B Hermanni B,11.4,11.9,9.4,1.8,25,20.1,9.4,1.5,0.2,2,0.6,0.1,1.7,0.5,0.3,0.2,-,0.2,0.1,3.9
091 022A Vallila A,9,7.6,9.9,1.7,36.4,23.1,2.3,1.1,0.3,2.1,0.3,-,2.3,0.3,0.2,0.4,-,-,-,2.9
091 022B Vallila B,12.9,10.7,8.9,1.7,31.7,21.4,3.4,1,0.3,2.3,0.5,-,1.6,0.2,0.5,0.2,-,0.3,-,2.6
091 023A Toukola A,12.5,7.7,13.2,1.8,30.6,18.7,6.1,1.2,0.5,1.8,0.2,-,1.3,0.4,0.1,0.3,-,0,0.1,3.4
091 023B Toukola B,12.1,8.1,22.2,2.4,31.6,13.3,3.3,1.1,0.4,1.3,0.3,-,0.8,0.3,0.1,0.2,-,0,-,2.6
091 024A Kumpula,13.1,8.8,8.2,2.5,30.1,24.3,2,1.6,0.6,3.1,0.2,-,1.5,0.6,0.1,0.5,0.1,0,-,2.7
091 025A Käpylä A,13.6,6.7,11.2,2,33,21.8,2.9,1.3,0.1,2,0.3,0,1.7,0.2,0.3,0.3,-,-,-,2.6
091 025B Käpylä B,15.4,7.5,10.2,1.5,30.9,22.5,3.6,1.1,0.4,1.5,0.2,-,1.5,0.1,0.3,0.3,0.1,0.1,0,2.6
091 026A Koskela,19.6,13.5,9.5,2.3,23,18.5,2.1,2.4,0.8,2.3,0.7,-,0.8,0.3,0.2,0.2,0.1,0.1,-,3.6
091 028A Maunula A,18.8,15.2,14.2,3.1,21.7,14.6,3.2,2.3,0.9,1.4,0.4,-,0.6,0.1,0.3,0.2,0.1,0.2,0,2.8
091 028B Maunula B,17.9,11.7,15.2,2.7,25,15,3.8,2,0.6,1.3,0.3,-,1,0.3,0.1,0.2,0,0.2,0.1,2.5
091 028D Oulunkylä A,17.1,12.2,13.4,4.4,27,13.1,2.6,2.7,0.4,1.9,0.4,0.1,0.9,0.3,0.2,0.2,0.2,0.1,0.1,2.7
091 028E Oulunkylä B,14.4,10.8,24.5,4.9,23.2,8.9,4.3,2.6,0.8,1.3,0.2,-,0.4,0.2,0.1,0.1,0,-,-,3.2
091 028F Oulunkylä C,16.3,9.5,24.2,4.3,24.3,9.1,3.5,2,0.6,1.1,0.2,-,0.5,0.3,0.2,0.3,0,-,-,3.6
091 028G Veräjämäki,15.6,13.6,21.1,2.9,22.6,12.7,2.6,2,0.7,1.4,0.3,-,0.7,0.5,0.1,0.1,-,0.1,-,2.8
091 029A Etelä-Haaga A,11.9,11.2,19.8,2.5,28.3,11.2,4.7,1.9,0.6,1.4,0.3,-,1.2,0.4,0,0.3,0,0.1,-,4.1
091 029B Etelä-Haaga B,11.8,9,23.4,3.4,27.9,8.8,6.2,2.4,0.4,1.7,0.2,-,0.7,0.3,0.1,0.1,0,0.1,-,3.5
091 029C Etelä-Haaga C,10.5,11,20.1,3.7,27.8,9.2,7.2,2.4,0.3,1.8,0.4,-,0.7,0.5,0.1,0.2,0.1,0.1,-,3.9
091 029D Haaga,9.7,9.6,23.8,3.7,27.7,8.6,6,2.1,0.6,1.7,0.3,-,0.9,0.4,0,0.1,-,0.1,-,4.8
091 029E Pohjois-Haaga A,16.6,14,14.8,2.3,26,13.9,3.3,1.6,0.5,1.5,0.3,-,0.8,0.4,0.2,0.1,-,0,0,3.5
091 029F Pohjois-Haaga B,18.9,12.2,18.1,3.4,22.9,10.3,4.3,2.8,0.5,1.2,0.2,-,0.8,0.4,0.3,0.4,-,0,0,3.3
091 029G Lassila A,13.5,12,22,3.7,23.3,10.7,3.3,2.7,0.8,1.7,0.1,-,1.2,0.3,0.1,0.2,0.1,0.1,0.1,4.2
091 029H Lassila B,18.2,13.9,19.3,3,20.3,11.2,3.1,2.8,0.8,1.8,0.5,-,0.9,0.5,0.3,0.2,0.1,0.2,0.2,2.9
091 030A Munkkiniemi A,5.8,6.6,41.8,2.8,19.3,4.8,12.6,1.6,0.3,0.9,0.3,-,0.3,0.1,0.1,0.2,-,0,0,2.4
091 030B Munkkiniemi B,5.2,6.4,46.4,2.6,19.3,3.7,10.2,1.5,0.2,0.8,0.1,-,0.6,0.3,-,0.1,0,0,-,2.6
091 030C Munkkiniemi C,10.7,7.8,28.3,2.4,25.6,7.2,9.5,1.6,0.3,1,0.1,-,0.6,0.8,0.1,0.2,0,0.1,0,3.6
091 030D Munkkivuori A,10.2,8.2,25,2.9,27,8.4,9.5,2,0.6,1.2,0.3,-,0.9,0.2,0,0.4,-,0,0,2.9
091 030E Munkkivuori B,9.7,8.5,26.2,3.4,28.4,7.3,7.2,2.4,0.6,1.3,0.3,-,0.8,0.4,0.1,0.2,0,0.1,-,3
091 031A Lauttasaari A,6.4,6.9,32.5,2.3,24.7,5.1,13.3,1.9,0.5,1.4,0.1,-,0.8,0.2,0,0.1,0,-,-,3.7
091 031B Lauttasaari B,7.1,7.7,32.9,2.1,24.6,5.3,13.7,1.3,0.3,0.7,0,-,0.6,0.3,-,0.2,0,-,-,3.2
091 031C Lauttasaari C,6.9,7.3,31.9,2.3,27.8,5.9,9.6,1.3,0.5,1.4,0.1,-,0.9,0.3,-,0.2,-,-,0.1,3.6
091 031D Lauttasaari D,8.9,6.7,32.6,2,25.8,6.2,9.6,1.1,0.5,1.8,0.1,-,0.6,0.3,0.1,0.1,0,-,-,3.5
091 031E Lauttasaari E,6.3,8.4,43.7,2.8,17.2,3.1,11.4,1.1,0.4,0.5,0.2,-,0.3,0.4,0,0.2,0,0,0,3.9
091 031F Lauttasaari F,8.1,8,41.6,2.9,17.4,3.8,10.9,1.8,0.2,1,0.1,-,0.3,0.3,0,0.1,0,0.1,-,3.5
091 032A Konala A,15.5,18.3,20.1,4.2,19.1,8,3.6,2.6,0.7,1.9,0.3,-,0.3,0.3,0.3,0.3,0.1,0.1,0.1,4.1
091 032B Konala B,15.1,17.8,20.6,4.1,19.6,7.2,3.8,2.3,0.8,1.6,0.4,0.1,0.6,0.3,0.2,0.3,0.1,0.1,0.1,5
091 033A Kannelmäki A,20.5,15.4,12.9,2.9,21.4,11.2,4.6,2.6,0.9,1.9,0.3,0,0.7,0.3,0.4,0.3,0,0.1,0,3.5
091 033B Kannelmäki B,20,16.5,12.8,3.7,19.8,12.4,2.6,2.1,1.2,2,1.1,-,0.5,0.1,0.4,0.5,0.1,-,0.2,4
091 033C Kannelmäki C,19.2,13.8,20,2.7,17.6,9.2,5.2,2.4,1.3,1.9,0.3,-,1,0.5,0.1,0.4,0.1,0.1,-,4.2
091 033D Kannelmäki D,22.5,17.5,13.7,3.1,16.6,12.6,2.3,2.8,0.8,1.7,0.3,-,0.9,0.3,0.1,0.1,-,0.2,-,4.6
091 033E Maununneva A,14.9,15,27.6,4.2,19.2,6,3.8,2,0.8,1,0.2,-,0.5,0.4,0.1,0.2,0.3,0.2,-,3.7
091 033F Malminkartano A,18.6,19.8,10.8,4.3,20.7,11.3,2.8,2.6,1.1,1.5,0.5,0.1,0.5,0.3,-,0.4,0.2,0.1,-,4.5
091 033G Malminkartano B,17.6,17.5,13.1,3.8,19.7,13.1,2.5,3,1,2.2,0.4,-,0.6,0.5,0.1,0.3,0,0.2,0.1,4.4
091 033H Maununneva B,16.3,14.2,22.4,4,21.3,8,3.4,2.6,0.9,0.9,0.4,-,0.4,0.3,0.3,0.2,-,-,0.1,4.4
091 034A Länsi-Pakila,12.1,9.7,39.1,3.5,18.8,6,3.5,2,0.1,0.5,0.1,-,0.4,0.1,0.1,0,-,-,0,3.8
091 034B Pakila,11,11.2,40.5,3.4,17.4,5.3,4,2.5,0.4,0.9,0.1,-,0.2,0.1,0.1,-,0,0.1,-,2.8
091 034C Itä-Pakila,11.7,13,33.8,3.8,20.2,5.9,3.9,1.5,0.7,0.8,0.2,-,0.4,0.2,0,0.1,-,0.2,-,3.6
091 035A Paloheinä,13,11.4,38.7,4.1,17.8,4,3.1,1.8,0.6,0.8,0.3,-,0.2,0.3,0.1,0.1,-,0,-,3.5
091 035B Torpparinmäki,13,14.8,29.7,3.1,18.8,7.8,3.1,2,0.7,1.1,0.3,-,0.4,0.1,0.1,0.2,0.2,0.1,0,4.4
091 036A Viikki A,11.5,8.3,18.8,7.9,32.9,8.1,3.1,1.5,0.6,2,0.3,-,0.6,0.3,-,0.2,-,0.1,-,3.8
091 036B Viikki B,13.9,11.7,14.3,3.7,31.9,11.8,2.2,2.1,0.3,1.7,0.5,0,0.7,0.4,0.2,0.5,0,0.1,0,3.8
091 036C Viikki C,16.2,12.7,18.5,3.9,26.4,11,1.2,2.1,0.5,1.2,0.3,-,0.9,0.4,0.1,0.3,0,0.1,0,4.2
091 036D Viikinmäki,12,13.2,18.4,3,25.4,12.3,3.9,2.4,0.8,1.5,0.4,-,0.9,0.4,-,0.1,-,-,-,5.1
091 037A Pukinmäki A,20.7,18,17.6,5.7,16.9,9,2.5,2.8,0.7,1.6,0.1,-,0.7,0.1,0.2,0.2,0.1,0,0,3.1
091 037B Pukinmäki B,21.4,19,11.1,3.6,18.9,13.5,1.8,2.7,0.5,1.7,0.7,-,0.7,0.4,0.2,0.4,0.1,0,0,3.2
091 038A Pihlajisto,24.1,19,10.6,4.1,16.4,13.7,2,2.5,0.6,1.5,0.6,-,0.6,0.3,0.2,0.1,0.1,0.3,0.1,3.1
091 038B Pihlajamäki A,21.6,16.3,11.8,2.2,18.7,15.2,2.3,3.3,0.9,1.8,0.9,0.1,1,0.3,0.3,0.3,0.3,0.1,-,2.7
091 038C Pihlajamäki B,19.3,20.1,10.3,4.3,17.7,14.8,2.1,2.7,0.8,1.5,0.7,-,0.6,0.3,0.1,0.2,0.6,0.2,0.1,3.6
091 038D Ala-Malmi A,19.4,19.7,15.4,5.9,15.4,10.4,2.3,2.2,1,1.7,0.4,-,0.6,0.2,0.3,0.4,0.2,0.3,-,4.1
091 038E Ala-Malmi B,18.1,18.8,14.5,3.4,17.5,12.1,2.4,3.1,0.9,1.5,0.5,0.1,0.7,0.4,0.4,0.4,-,-,0.1,5.2
091 038F Ylä-Malmi A,24.2,21.9,11.3,3.1,15,13.3,1.5,1.9,0.6,1.4,0.7,-,0.4,0.2,0.4,0.4,-,0.1,0.1,3.4
091 038G Ylä-Malmi B,20.6,17.5,12.5,4,19.2,12.3,2,1.9,1.4,1.8,0.9,-,0.8,0.3,0.1,0.2,-,0.2,0.1,4.3
091 039A Tapaninvainio,16.5,15.3,30.3,3.9,15.6,5.6,3.9,2.7,0.6,0.6,0.3,-,0.3,0.3,0.2,0.1,-,0.1,-,3.7
091 039B Tapaninkylä,17,17.3,22.7,5,17.3,6.9,3.8,2.4,0.7,0.8,0.3,0,0.4,0.2,0.3,0.2,0,-,-,4.7
091 039C Tapanila A,15.6,15.6,17.2,4.5,22.7,12,2.5,2.2,0.8,1.2,0.3,-,0.8,0.3,0.1,0.1,0,0.1,0.1,4
091 039D Tapanila B,20.5,19.7,10.7,3.3,18.9,13.1,2,3.3,0.6,1.2,0.7,0.1,0.3,0.2,0.2,0.2,0.1,0.2,0.2,4.8
091 040A Siltamäki,19.5,18.6,15.8,4.8,16.7,10,2.3,2.6,1.4,1.7,0.3,-,0.9,0.4,0.1,0.1,0.1,0.1,0.1,4.6
091 040B Suutarila,21.4,21,19.4,4.2,13.6,7.4,2.3,2.9,0.8,0.7,0.6,-,0.3,0.3,0.2,0.1,0.1,-,-,4.9
091 040C Töyrynummi,18.2,19,20.2,4.3,15.4,8.6,2.5,2.8,0.8,1.2,0.3,-,0.4,0.3,0.2,0,-,0.2,-,5.5
091 040D Tapulikaupunki A,18.9,19.9,14.5,4,17.2,11.6,1.9,3.1,0.6,1.7,0.3,0,0.6,0.1,0.5,0.5,0.3,0.2,-,4
091 040E Tapulikaupunki B,20.1,19.9,15.4,3.9,15.9,10.7,1.8,2.7,0.9,1.2,0.4,-,0.5,0.3,0.2,0.2,0,0.2,0,5.5
091 041A Puistola,17.7,15.9,23.6,4.3,16.8,8.9,2.4,2.6,0.7,0.6,0.2,-,0.3,0.3,0.1,0.1,0.1,0.1,-,5.3
091 041B Heikinlaakso,17.5,17.8,23.1,4.4,15.7,7.2,1.9,2.9,1.5,1.3,0.4,-,0.3,0.3,0.1,0.3,0,0.1,0,5
091 041C Jakomäki A,16.4,24,10.2,4.3,14.5,15.1,0.7,3.2,0.7,2,0.6,-,0.6,0.4,0.2,0.5,0.1,0.2,0.1,6.4
091 041D Jakomäki B,26.5,23.5,8.1,2.9,11.1,15,1.5,2.6,1,1.4,1.3,-,0.4,0.4,0.3,0.3,0.2,0.2,0.1,3.2
091 042A Kulosaari,6,8.6,35,1.5,22.9,6.3,13,1,0.5,1.3,0.4,-,0.6,0.2,0,0,-,0,-,2.7
091 043A Herttoniemi A,11.7,8.8,13.1,2.2,35.2,16.4,3.5,1.6,0.2,1.8,0.4,-,1.7,0.3,0.1,0.3,0,-,-,2.9
091 043B Herttoniemi B,17.1,19,11.2,1.8,21.8,17.2,2.7,1.9,0.7,1.2,0.2,-,1.3,0.4,0.1,0.3,0.1,0.2,-,2.8
091 043D Roihuvuori A,16.9,12.9,12,2.1,27.7,16.6,2.6,1.7,0.4,1.4,0.3,-,1.2,0.1,0.2,0.2,0.4,0.1,0.1,3
091 043E Roihuvuori B,19.4,13.8,8.6,2.2,27.1,18.1,2.2,1.8,0.4,1.3,0.3,-,1.1,0.2,0.3,0.3,0,0,0.1,2.8
091 043F Herttoniemenranta A,17.4,13.1,18.1,2.6,21.9,14.2,3.6,1.7,0.4,1.4,0.8,-,0.4,0.3,0.1,0.3,0.1,0.1,0,3.4
091 043G Herttoniemenranta B,14,12.4,21.3,2.2,22.5,12.7,3.4,2,0.7,1.9,0.2,0,0.9,0.3,0.2,0.2,0,0,-,5.1
091 044A Tammisalo,8.1,9.5,47.5,2,16.8,4.5,5,1.4,1,0.5,0.1,-,0.5,0.2,0.3,0.1,-,0.1,0.1,2.4
091 045A Vartioharju A,17,17.2,24.8,2.3,17.8,7.3,4.7,2,0.6,0.8,0.2,-,0.6,0.3,0.2,0.2,-,0.2,0.1,3.8
091 045B Vartioharju B,15.3,18.4,22.3,2.8,18.1,10.3,4.4,2,0.6,0.8,0.3,0,0.5,0.3,0.1,0.2,-,0,-,3.4
091 045C Puotila,18.6,16.1,13.5,2.3,22.3,12.9,5.1,2,0.4,1.6,0.3,-,1.1,0.4,0.2,0.1,-,0.1,0,3
091 045D Puotinharju,19.6,22.6,11.6,2.5,17.2,13.6,2.7,1.5,1,1.7,0.6,0.1,1,0.4,0.3,0.5,-,0.2,0.3,2.5
091 045E Myllypuro A,25.5,19.4,12.4,2.5,15.9,10.4,2.7,2.8,0.9,1.3,0.8,-,0.5,0.2,0.4,0.2,0.1,-,0.1,4
091 045F Myllypuro B,19.3,21.2,12.2,2.4,21.6,12.2,2.4,2.4,0.4,1.1,0.2,-,0.3,0.2,0.2,0.3,0,0.1,0,3.5
091 045G Myllypuro C,18.4,16.5,17.2,2.9,17.7,11.5,4.8,3.4,1.1,1.4,0.3,-,0.4,0.2,0.2,0.3,0.1,-,0.2,3.5
091 045H Marjaniemi,14.4,12.8,37,3.3,14.5,7.4,3.5,1.7,0.5,1.1,0.3,-,0.5,0.3,0.1,0.1,-,-,0.1,2.3
091 045J Itäkeskus,22.9,17.5,11.8,2.6,18.9,13.2,2.5,3,0.3,1.7,0.7,-,0.9,0.2,0.3,0.6,-,0.1,-,2.7
091 046A Pitäjänmäki A,14,15.2,21.2,3.4,22.6,9,3.5,2.3,0.5,1.9,0.3,-,0.7,0.3,0.1,0.2,0.1,0.2,-,4.5
091 046B Pitäjänmäki B,15.1,14.9,21.5,3.4,20.5,8.3,4.3,3.1,0.3,1.9,0.1,-,0.7,0.2,0.2,0.5,0.1,0.3,-,4.5
091 046C Pitäjänmäki C,14.2,12.5,17,4.6,26.3,10.2,4.1,2.3,0.8,1.7,0.4,-,0.9,0.4,0.3,0.2,0,0,-,3.9
091 047A Kontula A,26.6,25,10.1,2.5,11.7,12.3,2.5,3.3,0.8,0.8,0.4,0.1,0.3,0.3,0.3,-,-,-,-,3.1
091 047B Kurkimäki,26.8,21,8.5,2.6,16.3,13.1,1.4,2.5,0.9,1.7,0.8,-,0.6,0.3,0.1,0.1,0.2,0.2,-,2.7
091 047C Kontula B,27.4,21.2,11.5,4,11.4,13,2.2,3.2,0.7,0.8,0.2,0.1,0.9,0.3,0.8,0.2,0.1,0.2,-,2.1
091 047D Mellunkylä,19.4,24.6,14.8,2.8,15.7,10,3.1,1.9,1,0.9,0.5,-,0.5,0.2,0.3,0.2,-,0.2,0.1,3.8
091 047E Kontula C,26.5,24.5,8.6,2.3,11.8,13.6,3.7,2,0.7,0.9,0.6,-,0.3,0.2,0.3,0.3,0.1,0.4,0.1,3
091 047F Vesala A,20,23.4,14.3,1.8,14.8,12.3,2.7,3.2,0.6,1.5,0.7,-,0.6,0.7,0.2,0.2,-,0.2,-,2.9
091 047G Vesala B,24.2,24.9,9.5,2.4,14.1,12.4,2,2.7,0.8,1.2,0.8,0.1,0.5,-,0.5,0.2,0.1,0.4,0.1,3.1
091 047H Mellunmäki A,27.1,22.4,11.9,3.8,11.9,10.6,2.9,2.9,0.9,0.8,0.4,0,0.3,0.2,0.2,0.2,0.1,0.3,0,2.9
091 047J Mellunmäki B,21.2,22.1,15.3,3,15.8,9.3,2.7,2.6,0.4,0.9,0.7,-,0.5,0.3,0.3,0.2,0.1,0.3,-,4.3
091 047K Kivikko,22.1,24.3,8.7,2.7,16,12.8,2.1,3.5,0.6,1.6,0.7,0,0.6,0.2,0.3,0.4,0.1,0.4,-,2.9
091 049A Laajasalo A,12,11.6,30.5,3.6,19.9,7.7,5.9,2.4,0.6,1,0.2,-,0.6,0,0.1,0.4,0,-,-,3.3
091 049B Laajasalo B,16.9,17.5,18.5,2.8,18.3,10.4,4.7,2,0.6,2,0.7,0,0.2,0.3,0.1,0.1,0.1,0.1,0,4.7
091 049C Yliskylä,16.1,12.4,27.5,3.6,18.6,7.9,5.3,2.5,0.4,0.9,0.4,-,0.3,0.4,0.2,0.4,0,0.1,0,3
091 049D Jollas,10.2,13.1,38,2.3,17.9,5.6,4.7,1.3,0.4,0.8,0.2,-,0.7,0.3,0.2,0.2,0.1,-,0,4
091 049E Kruunuvuorenranta,13.1,14.3,20,2.9,24.3,13.5,2.7,1.5,0.7,1.2,0.1,-,0.6,0.3,-,0.2,0.1,0.1,0.1,4.6
091 051A Santahamina,4.7,23.4,42.6,2.1,12.8,1.7,1.7,2.1,3,0.9,-,-,0.4,0.4,-,-,-,-,-,4.3
091 052A Suomenlinna,12.9,5.6,17.1,1.6,30.3,23.5,1.6,2.1,0.2,0.7,0.9,-,1.4,-,-,-,-,-,-,1.9
091 054A Vuosaari A,19.3,18,12.9,2.1,18.9,14.2,3.5,3,0.5,1.5,0.8,-,0.6,0.2,0.1,0.3,0.1,0.4,0,3.5
091 054B Vuosaari B,21.9,19.5,11.3,2.3,16.7,15,3.4,2.3,1,1.2,0.9,-,0.5,0.3,0.2,0.3,0.1,0.2,0.1,2.7
091 054C Vuosaari C,17.2,16.8,21,3.1,19.6,9.9,2.9,2.8,0.4,0.9,0.3,-,0.4,0.2,0,0.4,-,0,-,4.2
091 054D Vuosaari D,15.8,16.2,26,3.9,19.3,6.4,4.3,2,0.5,0.6,0.3,-,0.4,0.2,0,0.1,-,0.1,0.2,3.8
091 054E Vuosaari E,18.9,16.5,20.1,2.5,16.3,9.9,5.9,3.1,0.6,1,0.5,-,0.3,0.2,0.2,0.4,0.1,0.1,0,3.5
091 054F Vuosaari F,21.5,17.1,16,3,19.4,10.4,3.5,2.8,0.7,1.1,0.5,-,0.6,0.1,0.1,0.4,-,0.1,0.1,2.8
091 054G Vuosaari G,19.3,19.6,14.3,3.1,16.2,9.8,7.4,2.3,0.9,0.9,0.5,-,0.2,0.3,0.3,0.1,0.1,0.1,0,4.5
091 054H Vuosaari H,20.9,20.5,14.9,3.4,15.8,10,3.4,2,1,1.4,0.6,-,0.3,0.1,0.2,0.6,-,0.2,0.1,4.9
091 055A Östersundom,5.9,15.5,32.7,3.1,11.5,3.3,15.7,2.9,0.5,0.5,0.3,-,0.1,0.2,0.2,0.3,-,0.1,-,7.3
091 090A Ä-alue 090A,11.7,14.7,15.1,2.1,23,17.3,3.9,1.8,0.7,2.7,1.4,0,1.1,0.4,0.3,0.6,0.2,0.2,0.1,2.6
091 090B Ä-alue 090B,7.2,5.9,22.5,2.4,29.9,9.2,13.2,2.1,0.5,1.3,0.3,-,1.6,0.6,0.2,0.3,0.1,0.1,0.1,2.5
